Entity,Identifier
mum-sai-pla,obo:FOODON_00001312
nam-budu,obo:FOODON_00001313
fermented meat product,obo:FOODON_00001314
nham,obo:FOODON_00001315
nham-pla,obo:FOODON_00001316
noa mai,obo:FOODON_00001317
noa mai dong,obo:FOODON_00001318
pak kard dong,obo:FOODON_00001319
pak kum dong,obo:FOODON_00001320
pak sean dong,obo:FOODON_00001321
pak sean and hua plee dong,obo:FOODON_00001322
pak sean and makhua dong,obo:FOODON_00001323
pla-chom,obo:FOODON_00001324
pla-jaw,obo:FOODON_00001325
pla-som,obo:FOODON_00001326
pu dong,obo:FOODON_00001327
som-khai-pla,obo:FOODON_00001328
tai-pla,obo:FOODON_00001329
tuaw jaew,obo:FOODON_00001330
pla-ra,obo:FOODON_00001331
rice powder (roasted),obo:FOODON_00001332
blood meal,obo:FOODON_00001564
pre-evisceration carcass,obo:FOODON_00001565
post-evisceration carcass,obo:FOODON_00001566
primal cut,obo:FOODON_00001567
animal primal cut,obo:FOODON_00001567
food trimming,obo:FOODON_00001568
high moisture corn (),obo:FOODON_00001569
rolled grain,obo:FOODON_00001570
corn stover,obo:FOODON_00001571
corn stubble,obo:FOODON_00001572
cottonseed hull,obo:FOODON_00001573
soybean stubble,obo:FOODON_00001574
akee fruit,obo:FOODON_00001577
alcoholic beverage analog,obo:FOODON_00001580
alewife,obo:FOODON_00001581
alfalfa nut,obo:FOODON_00001583
alfalfa pellet,obo:FOODON_00001583
alfalfa vegetable,obo:FOODON_00001584
almond candy,obo:FOODON_00001585
almond cookie,obo:FOODON_00001586
american dewberry,obo:FOODON_00001588
angelica candy,obo:FOODON_00001590
animal based dessert,obo:FOODON_00001593
animal based  for animal,obo:FOODON_00001594
animal based refined or partially-refined,obo:FOODON_00001595
animal based salad,obo:FOODON_00001596
animal-based sandwich,obo:FOODON_00001597
animal-based stew or hash,obo:FOODON_00001598
animal fat or oil refined,obo:FOODON_00001599
animal product based dressing,obo:FOODON_00001601
animal product based flavoring or seasoning,obo:FOODON_00001602
animal product dressing,obo:FOODON_00001603
animal product sandwich,obo:FOODON_00001604
animal product sausage,obo:FOODON_00001605
soup animal component,obo:FOODON_00001606
animal soup,obo:FOODON_00001608
apple based alcoholic beverage,obo:FOODON_00001609
apple condiment,obo:FOODON_00001610
apple preserve or jam,obo:FOODON_00001612
apple vinegar,obo:FOODON_00001613
apricot preserve or jam,obo:FOODON_00001616
artichoke vegetable,obo:FOODON_00001617
asian water buffalo meat,obo:FOODON_00001619
asparagus vegetable,obo:FOODON_00001620
atlantic halibut,obo:FOODON_00001621
atlantic herring,obo:FOODON_00001622
atlantic salmon and trout,obo:FOODON_00001623
bakery,obo:FOODON_00001626
bamboo,obo:FOODON_00001627
barley alcoholic beverage analog,obo:FOODON_00001630
barley product flavoring,obo:FOODON_00001631
barley vegetable,obo:FOODON_00001633
bass,obo:FOODON_00001634
beef product based flavoring or seasoning,obo:FOODON_00001636
beet pickle,obo:FOODON_00001637
berry juice,obo:FOODON_00001641
areca nut,obo:FOODON_00001642
beverage base product,obo:FOODON_00001643
beverage analog,obo:FOODON_00001645
black currant nectar beverage,obo:FOODON_00001647
pepper,obo:FOODON_00001649
black or white pepper product,obo:FOODON_00001649
blackberry group,obo:FOODON_00001653
blackeyed pea vegetable,obo:FOODON_00001654
blue runner,obo:FOODON_00001655
blueberry preserve or jam,obo:FOODON_00001657
bluefin tuna,obo:FOODON_00001658
bony fish,obo:FOODON_00001661
broiler chicken meat,obo:FOODON_00001667
buffalo meat,obo:FOODON_00001671
butter product analog,obo:FOODON_00001673
veal,obo:FOODON_00001678
calf meat,obo:FOODON_00001678
cape hake,obo:FOODON_00001679
cape spiny lobster,obo:FOODON_00001680
caper,obo:FOODON_00001681
capers,obo:FOODON_00001681
cardamon,obo:FOODON_00001683
cardamum,obo:FOODON_00001683
cassava snack,obo:FOODON_00001691
cattle based pie,obo:FOODON_00001694
cattle broth or stock,obo:FOODON_00001695
cattle cured meat,obo:FOODON_00001696
cattle product based flavoring or seasoning,obo:FOODON_00001697
cattle product stew or hash,obo:FOODON_00001698
cattle sandwich,obo:FOODON_00001699
cattle sausage,obo:FOODON_00001700
cattle soup,obo:FOODON_00001701
leaf celery,obo:FOODON_00001705
cereal dessert,obo:FOODON_00001708
cereal product,obo:FOODON_00001709
cereal,obo:FOODON_00001709
chamomile tea,obo:FOODON_00001710
cheese product analog,obo:FOODON_00001712
chemical product based flavoring,obo:FOODON_00001713
chemical soft drink,obo:FOODON_00001715
chemical sweetener product,obo:FOODON_00001716
cherry nectar beverage,obo:FOODON_00001719
cherry pie,obo:FOODON_00001720
cherry preserve or jam,obo:FOODON_00001721
chicken product based flavoring or seasoning,obo:FOODON_00001725
chicken stew or hash,obo:FOODON_00001729
chocolate product analog,obo:FOODON_00001734
cichlid,obo:FOODON_00001737
citric acid soft drink,obo:FOODON_00001739
citrus nectar beverage,obo:FOODON_00001741
citrus preserve or jam,obo:FOODON_00001742
cloudberry,obo:FOODON_00001744
cloves,obo:FOODON_00001745
cocoa beverage,obo:FOODON_00001747
coconut beverage,obo:FOODON_00001748
common millet,obo:FOODON_00001758
common oat cereal,obo:FOODON_00001759
condiment sauce,obo:FOODON_00001761
corn snack,obo:FOODON_00001764
vegetable corn,obo:FOODON_00001765
corvina,obo:FOODON_00001766
cotton seed,obo:FOODON_00001767
cotton seed refined oil,obo:FOODON_00001768
cow buttermilk,obo:FOODON_00001769
dried cow milk,obo:FOODON_00001770
cow milk based,obo:FOODON_00001771
cow milk butter,obo:FOODON_00001772
cow milk cheese analog,obo:FOODON_00001773
cow milk cheese cake,obo:FOODON_00001774
cow milk cream,obo:FOODON_00001775
cow milk cured cheese,obo:FOODON_00001776
cow milk dessert,obo:FOODON_00001777
cow milk hard cheese,obo:FOODON_00001778
cow milk pie,obo:FOODON_00001779
cow milk product based dressing,obo:FOODON_00001780
cow milk sherbet,obo:FOODON_00001781
cow milk snack,obo:FOODON_00001782
cowpea vegetable,obo:FOODON_00001783
cow milk processed cheese product,obo:FOODON_00001784
cranberry preserve or jam,obo:FOODON_00001788
crayfish,obo:FOODON_00001789
cream product analog,obo:FOODON_00001791
cucumber or gherkin pickle,obo:FOODON_00001793
cucumber relish,obo:FOODON_00001794
cultural,obo:FOODON_00001796
cusk,obo:FOODON_00001798
dairy dessert,obo:FOODON_00001800
dairy product analog,obo:FOODON_00001801
dairy product based dressing,obo:FOODON_00001802
deer meat,obo:FOODON_00001805
devilfish,obo:FOODON_00001807
devils tongue,obo:FOODON_00001808
dietetic,obo:FOODON_00001810
diluted apple beverage,obo:FOODON_00001812
diluted citrus fruit beverage,obo:FOODON_00001813
diluted fruit beverage,obo:FOODON_00001814
diluted grape beverage,obo:FOODON_00001815
diluted orange beverage,obo:FOODON_00001816
distilled alcohol,obo:FOODON_00001817
distilled spirit,obo:FOODON_00001817
hard alcohol,obo:FOODON_00001817
hard liquor,obo:FOODON_00001817
liquor,obo:FOODON_00001817
spirit,obo:FOODON_00001817
alcoholic beverage (distilled),obo:FOODON_00001817
dogfish,obo:FOODON_00001819
dolphinfish,obo:FOODON_00001820
durum wheat flour,obo:FOODON_00001823
durum wheat pasta,obo:FOODON_00001824
egg dessert,obo:FOODON_00001828
egg substitute,obo:FOODON_00001829
egg product analog,obo:FOODON_00001829
emulsified cheese product,obo:FOODON_00001831
emulsified,obo:FOODON_00001832
european blackberry,obo:FOODON_00001834
european blackberry preserve or jam,obo:FOODON_00001835
european filbert nut,obo:FOODON_00001836
fenugreek,obo:FOODON_00001837
fermented cereal beverage,obo:FOODON_00001838
fern vegetable,obo:FOODON_00001839
field corn based bakery,obo:FOODON_00001840
infant formula with corn syrup,obo:FOODON_00001841
field corn cereal,obo:FOODON_00001842
field corn custard,obo:FOODON_00001843
field corn distinctive distilled spirit,obo:FOODON_00001844
dry corn,obo:FOODON_00001845
field corn refined,obo:FOODON_00001846
field corn snack,obo:FOODON_00001847
field corn sweetener product,obo:FOODON_00001848
field corn vegetable,obo:FOODON_00001849
common pea vegetable,obo:FOODON_00001850
garden pea vegetable,obo:FOODON_00001850
field pea vegetable,obo:FOODON_00001850
fig preserve or jam,obo:FOODON_00001853
fish  analog,obo:FOODON_00001854
fish refined,obo:FOODON_00001855
food flavoring or seasoning product,obo:FOODON_00001857
flax vegetable,obo:FOODON_00001860
florida stone crab,obo:FOODON_00001861
flying fish,obo:FOODON_00001862
food base product,obo:FOODON_00001864
food coating product,obo:FOODON_00001865
food concentrate product,obo:FOODON_00001866
food dressing product,obo:FOODON_00001867
food filling product,obo:FOODON_00001868
food mix product,obo:FOODON_00001870
spread,obo:FOODON_00001873
food spread,obo:FOODON_00001873
food supplement,obo:FOODON_00001874
fermented milk,obo:FOODON_00001875
freshwater drum,obo:FOODON_00001876
frigate tuna,obo:FOODON_00001877
frozen dairy dessert,obo:FOODON_00001878
frozen dairy,obo:FOODON_00001879
fruit based alcoholic beverage,obo:FOODON_00001882
fruit based distilled spirit,obo:FOODON_00001883
fruit based gravy or sauce,obo:FOODON_00001884
fruit candy,obo:FOODON_00001886
fruit dessert,obo:FOODON_00001887
fruit spread or sauce,obo:FOODON_00001892
fungus vegetable,obo:FOODON_00001894
chickpea (whole or pieces),obo:FOODON_00001896
garlic product flavoring or seasoning,obo:FOODON_00001898
gelatin refined,obo:FOODON_00001900
ginger preserve or jam,obo:FOODON_00001902
ginseng tea,obo:FOODON_00001903
gluten refined,obo:FOODON_00001907
goat evaporated milk,obo:FOODON_00001909
goat milk beverage,obo:FOODON_00001910
goat dairy,obo:FOODON_00001911
goat milk (pasteurized),obo:FOODON_00001912
goat powdered milk,obo:FOODON_00001913
gooseberry,obo:FOODON_00001914
gourd,obo:FOODON_00001915
grain based alcoholic beverage,obo:FOODON_00001916
grain based bakery,obo:FOODON_00001917
grain based distilled spirit,obo:FOODON_00001918
grain based vinegar,obo:FOODON_00001919
grape spread or sauce,obo:FOODON_00001920
grape alcoholic beverage analog,obo:FOODON_00001921
grape based alcoholic beverage,obo:FOODON_00001922
grape based distilled spirit,obo:FOODON_00001923
grape based low-alcohol wine,obo:FOODON_00001924
grape based wine or wine-like,obo:FOODON_00001925
grape preserve or jam,obo:FOODON_00001927
