Entity,Identifier
korean black raspberries,obo:FOODON_03541558
korean raspberries,obo:FOODON_03541559
nectar raspberries,obo:FOODON_03541560
wineberries,obo:FOODON_03541561
other cane fruits,obo:FOODON_03541562
blueberries and similar,obo:FOODON_03541563
southern blueberry,obo:FOODON_03541565
rabbiteye blueberry,obo:FOODON_03541566
lowbush blueberry,obo:FOODON_03541567
northern highbush blueberry,obo:FOODON_03541568
aronia berries,obo:FOODON_03541569
aronia berries (red),obo:FOODON_03541570
aronia berries (black),obo:FOODON_03541571
aronia berries (purple),obo:FOODON_03541572
bearberries,obo:FOODON_03541573
bilberries (generic),obo:FOODON_03541574
bilberries (european blueberries),obo:FOODON_03541575
bog bilberries,obo:FOODON_03541576
european barberries,obo:FOODON_03541577
golden currant,obo:FOODON_03541578
haskaps,obo:FOODON_03541579
huckleberries,obo:FOODON_03541580
juneberries,obo:FOODON_03541582
myrtle berries,obo:FOODON_03541583
native currant,obo:FOODON_03541584
lingonberries and similar,obo:FOODON_03541585
cowberries,obo:FOODON_03541586
salal,obo:FOODON_03541588
sea buckthorns,obo:FOODON_03541589
serviceberries,obo:FOODON_03541590
ugniberries,obo:FOODON_03541591
worcesterberries,obo:FOODON_03541592
"other species and hybrids of genera ribes and vaccinium, not elsewhere mentioned",obo:FOODON_03541593
cranberries and similar,obo:FOODON_03541594
crowberries,obo:FOODON_03541597
purple crowberries,obo:FOODON_03541598
black crowberries (tetraploid),obo:FOODON_03541599
black crowberries (common),obo:FOODON_03541600
red crowberries,obo:FOODON_03541601
muntries,obo:FOODON_03541602
partridge berries,obo:FOODON_03541603
small cranberries,obo:FOODON_03541604
currants and similar,obo:FOODON_03541605
"currants (black, red and white)",obo:FOODON_03541606
redcurrants,obo:FOODON_03541607
blackcurrants,obo:FOODON_03541608
gooseberries and similar,obo:FOODON_03541609
"gooseberries (green, red and yellow)",obo:FOODON_03541610
rose hips and similar,obo:FOODON_03541611
rose hips,obo:FOODON_03541612
dog rose,obo:FOODON_03541613
cinnamon rose,obo:FOODON_03541614
rugosa rose,obo:FOODON_03541615
mulberries (black and white) and similar,obo:FOODON_03541616
mulberries (black and white),obo:FOODON_03541617
white mulberries,obo:FOODON_03541618
black mulberries,obo:FOODON_03541619
azaroles and similar,obo:FOODON_03541620
azaroles,obo:FOODON_03541621
elderberries and similar,obo:FOODON_03541622
bayberries,obo:FOODON_03541624
buffalo berries,obo:FOODON_03541625
che berries,obo:FOODON_03541626
dwarf elderberries,obo:FOODON_03541627
guelder rose berries,obo:FOODON_03541628
hawberries,obo:FOODON_03541629
midland hawberries,obo:FOODON_03541630
phalsa fruits,obo:FOODON_03541631
riberries,obo:FOODON_03541632
saskatoons,obo:FOODON_03541633
silverberries,obo:FOODON_03541634
sorb fruits,obo:FOODON_03541635
sorb berries,obo:FOODON_03541636
rowan berries,obo:FOODON_03541637
other not listed other small fruits and berries,obo:FOODON_03541638
miscellaneous fruits (generic),obo:FOODON_03541639
miscellaneous fruits with edible peel,obo:FOODON_03541640
dates and similar,obo:FOODON_03541641
açaí berries,obo:FOODON_03541643
awara palm fruits,obo:FOODON_03541644
doum palm fruits,obo:FOODON_03541645
figs and similar,obo:FOODON_03541646
table olives and similar,obo:FOODON_03541648
table olives,obo:FOODON_03541649
"chinese olives, black, white",obo:FOODON_03541650
chinese black olives,obo:FOODON_03541651
chinese white olives,obo:FOODON_03541652
desert dates,obo:FOODON_03541653
kumquats and similar,obo:FOODON_03541654
kumquats,obo:FOODON_03541655
marumi kumquats,obo:FOODON_03541656
nagami kumquats,obo:FOODON_03541657
"other species and hybrids of genus fortunella, not elsewhere mentioned",obo:FOODON_03541659
carambolas and similar,obo:FOODON_03541660
carambolas,obo:FOODON_03541661
ambarellas,obo:FOODON_03541662
aonlas,obo:FOODON_03541663
bilimbis,obo:FOODON_03541665
cashew apples,obo:FOODON_03541666
indian jujubes,obo:FOODON_03541667
jaboticabas,obo:FOODON_03541668
malay pommarosas,obo:FOODON_03541669
malayan mombins,obo:FOODON_03541670
maprangs,obo:FOODON_03541671
natal plums,obo:FOODON_03541672
nonis,obo:FOODON_03541673
pommarosas,obo:FOODON_03541674
purple mombins,obo:FOODON_03541675
santols,obo:FOODON_03541676
dracontomelon duperreanum fruits,obo:FOODON_03541677
kaki and similar,obo:FOODON_03541678
kaki,obo:FOODON_03541679
chinese persimmons,obo:FOODON_03541680
jambuls and similar,obo:FOODON_03541681
jambuls,obo:FOODON_03541682
acerolas,obo:FOODON_03541683
arbutus berries,obo:FOODON_03541684
camu camus,obo:FOODON_03541685
carandas,obo:FOODON_03541686
coco plums,obo:FOODON_03541687
grumichamas,obo:FOODON_03541688
hog plums,obo:FOODON_03541689
java apples,obo:FOODON_03541690
otaheite gooseberries,obo:FOODON_03541691
sea grapes,obo:FOODON_03541692
surinam cherries,obo:FOODON_03541693
water apples,obo:FOODON_03541694
water berries,obo:FOODON_03541695
water pears,obo:FOODON_03541696
other miscellaneous fruits with edible peel,obo:FOODON_03541697
davidsons plum,obo:FOODON_03541698
"miscellaneous fruits with inedible peel, small",obo:FOODON_03541699
kiwi fruits and similar,obo:FOODON_03541700
"kiwi fruits (green, red, yellow)",obo:FOODON_03541701
fuzzy kiwifruit,obo:FOODON_03541702
golden kiwifruit,obo:FOODON_03541703
litchis and similar,obo:FOODON_03541704
litchis,obo:FOODON_03541705
longans,obo:FOODON_03541706
marulas,obo:FOODON_03541707
salaks,obo:FOODON_03541708
spanish limes,obo:FOODON_03541709
passionfruits and similar,obo:FOODON_03541710
passionfruits,obo:FOODON_03541711
banana passionfruits,obo:FOODON_03541712
giant granadillas,obo:FOODON_03541713
granadillas,obo:FOODON_03541714
monstera fruits,obo:FOODON_03541715
wingedstem passionflower fruits,obo:FOODON_03541716
prickly pears and similar,obo:FOODON_03541717
prickly pears,obo:FOODON_03541718
pitayas,obo:FOODON_03541719
red pitayas,obo:FOODON_03541720
saguaro fruits,obo:FOODON_03541721
star apples and similar,obo:FOODON_03541722
star apples,obo:FOODON_03541723
american persimmons and similar,obo:FOODON_03541724
american persimmons,obo:FOODON_03541725
black sapotes,obo:FOODON_03541726
green sapotes,obo:FOODON_03541727
white sapotes,obo:FOODON_03541728
yellow sapotes,obo:FOODON_03541729
"other miscellaneous fruits with inedible peel, small",obo:FOODON_03541730
"miscellaneous fruits with inedible peel, large",obo:FOODON_03541731
avocados and similar,obo:FOODON_03541732
avocados,obo:FOODON_03541733
avocados for oil production,obo:FOODON_03541734
bananas and similar,obo:FOODON_03541735
common banana,obo:FOODON_03541736
common banana - acuminata cultivars,obo:FOODON_03541737
cavendishes - balbisiana cultivars,obo:FOODON_03541738
common banana - paradisiaca cultivars,obo:FOODON_03541739
dwarf bananas,obo:FOODON_03541740
plantains,obo:FOODON_03541741
plantains - acuminata cultivars,obo:FOODON_03541742
plantains - balbisiana cultivars,obo:FOODON_03541743
plantains - paradisiaca cultivars,obo:FOODON_03541744
mangoes and similar,obo:FOODON_03541745
mangoes,obo:FOODON_03541746
papayas and similar,obo:FOODON_03541747
papayas,obo:FOODON_03541748
akee apples,obo:FOODON_03541749
langsats,obo:FOODON_03541751
mangosteens,obo:FOODON_03541752
naranjillas,obo:FOODON_03541753
paw paws,obo:FOODON_03541754
tamarillos,obo:FOODON_03541755
granate apples and similar,obo:FOODON_03541756
granate apples,obo:FOODON_03541757
cherimoyas and similar,obo:FOODON_03541758
cherimoyas,obo:FOODON_03541759
elephant apples,obo:FOODON_03541760
ilamas,obo:FOODON_03541761
mammey sapotes,obo:FOODON_03541762
marmaladedos,obo:FOODON_03541763
pulasans,obo:FOODON_03541764
rambutans,obo:FOODON_03541765
sapodillas,obo:FOODON_03541766
sweetsops,obo:FOODON_03541767
wild sweetsops,obo:FOODON_03541768
guavas and similar,obo:FOODON_03541769
brazilian guavas,obo:FOODON_03541771
cattley guavas,obo:FOODON_03541772
costarican guavas,obo:FOODON_03541773
guayabillos,obo:FOODON_03541774
parà guavas,obo:FOODON_03541775
pineapples and similar,obo:FOODON_03541776
breadfruits and similar,obo:FOODON_03541778
"other species of genus artocarpus, not elsewhere mentioned",obo:FOODON_03541781
durians and similar,obo:FOODON_03541782
durians,obo:FOODON_03541783
soursops and similar,obo:FOODON_03541784
soursops,obo:FOODON_03541785
"other miscellaneous fruits with inedible peel, large",obo:FOODON_03541786
mammey apple,obo:FOODON_03541787
baobab fruits,obo:FOODON_03541788
arenga westerhoutii fruits,obo:FOODON_03541789
processed fruit products,obo:FOODON_03541790
dried fruit,obo:FOODON_03541791
mixed dried fruits,obo:FOODON_03541792
fruit chips,obo:FOODON_03541793
chocolate coated dried fruit,obo:FOODON_03541794
dried prunes,obo:FOODON_03541795
dried apples,obo:FOODON_03541796
dried apricots,obo:FOODON_03541797
dried vine fruits (raisins etc.),obo:FOODON_03541798
dried dates,obo:FOODON_03541799
dried figs,obo:FOODON_03541800
dried pears,obo:FOODON_03541801
dried bananas,obo:FOODON_03541802
dried mangoes,obo:FOODON_03541803
fruit / vegetable spreads and similar,obo:FOODON_03541804
jam of fruit / vegetables,obo:FOODON_03541805
"jam, strawberries",obo:FOODON_03541806
"jam, raspberries",obo:FOODON_03541807
"jam, blackberries",obo:FOODON_03541808
"jam, currants (red)",obo:FOODON_03541809
"jam, currants (black)",obo:FOODON_03541810
"jam, lingonberry",obo:FOODON_03541811
"jam, gooseberries",obo:FOODON_03541812
"jam, cranberries",obo:FOODON_03541813
"jam, blueberries",obo:FOODON_03541814
"jam, rose hips",obo:FOODON_03541815
"jam, apricots",obo:FOODON_03541816
"jam, plums",obo:FOODON_03541817
"jam, peaches",obo:FOODON_03541818
"jam, sweet cherry",obo:FOODON_03541819
"jam, sour cherry",obo:FOODON_03541820
"jam, oranges",obo:FOODON_03541821
"jam, mandarins",obo:FOODON_03541822
"jam, mixed fruit",obo:FOODON_03541823
marmalade,obo:FOODON_03541824
"marmalade, oranges",obo:FOODON_03541825
"marmalade, mandarins",obo:FOODON_03541826
"marmalade, mixed citrus fruit",obo:FOODON_03541827
fruit jelly,obo:FOODON_03541828
fruit preparations for fillings and/or flavouring,obo:FOODON_03541829
compote of fruit / vegetables,obo:FOODON_03541830
"fruit compote, apple",obo:FOODON_03541831
"fruit compote, apricot",obo:FOODON_03541832
"fruit compote, cranberry",obo:FOODON_03541833
"fruit compote, mandarin",obo:FOODON_03541834
"fruit compote, peach",obo:FOODON_03541835
"fruit compote, pear",obo:FOODON_03541836
"fruit compote, pineapple",obo:FOODON_03541837
"fruit compote, plum",obo:FOODON_03541838
"fruit compote, sweet cherry",obo:FOODON_03541839
"fruit compote, sour cherry",obo:FOODON_03541840
"fruit compote, table grape",obo:FOODON_03541841
"fruit compote, mixed fruit",obo:FOODON_03541842
other fruit spreads,obo:FOODON_03541843
other processed fruit products (excluding beverages),obo:FOODON_03541844
citrus fruit peel,obo:FOODON_03541845
fruit or fruit-vegetable puree,obo:FOODON_03541846
fruit dessert thickened,obo:FOODON_03541847
candied fruits,obo:FOODON_03541848
"candied fruit, apple",obo:FOODON_03541849
"candied fruit, bananas",obo:FOODON_03541850
"candied fruit, cherry",obo:FOODON_03541851
"candied fruit, grape",obo:FOODON_03541852
"candied fruit, orange peel",obo:FOODON_03541853
"candied fruit, pear",obo:FOODON_03541854
"candied fruit, pineapple",obo:FOODON_03541855
"candied fruit, mixed fruit",obo:FOODON_03541856
fermented fruit products,obo:FOODON_03541857
"olives, processed",obo:FOODON_03541858
table olives ready for consumption,obo:FOODON_03541859
fruit in vinegar or brine,obo:FOODON_03541860
fruit in alcohol or spirits,obo:FOODON_03541861
canned or jarred fruit,obo:FOODON_03541862
canned or jarred mixed fruit,obo:FOODON_03541863
canned fruit cocktail,obo:FOODON_03541864
canned or jarred mandarin,obo:FOODON_03541865
canned or jarred apple,obo:FOODON_03541866
canned or jarred pear,obo:FOODON_03541867
canned or jarred apricot,obo:FOODON_03541868
canned or jarred plum,obo:FOODON_03541869
canned or jarred sweet cherry,obo:FOODON_03541870
canned or jarred sour cherry,obo:FOODON_03541871
canned or jarred peach,obo:FOODON_03541872
canned or jarred table grape,obo:FOODON_03541873
canned or jarred cranberry,obo:FOODON_03541874
canned or jarred pineapple,obo:FOODON_03541875
animal carcase,obo:FOODON_03541877
bovine carcase,obo:FOODON_03541878
pig carcase,obo:FOODON_03541879
asses-mules-hinnies carcase,obo:FOODON_03541880
sheep carcase,obo:FOODON_03541881
goat carcase,obo:FOODON_03541882
horse carcase,obo:FOODON_03541883
rabbit carcase,obo:FOODON_03541884
deer carcase,obo:FOODON_03541885
wild boar carcase,obo:FOODON_03541886
chicken carcase,obo:FOODON_03541887
duck carcase,obo:FOODON_03541888
goose carcase,obo:FOODON_03541889
turkey carcase,obo:FOODON_03541890
ratites carcase,obo:FOODON_03541891
animal mechanically separated meat (msm),obo:FOODON_03541892
mammals msm,obo:FOODON_03541893
bovine msm,obo:FOODON_03541894
pig msm,obo:FOODON_03541895
sheep msm,obo:FOODON_03541896
goat msm,obo:FOODON_03541897
horse msm,obo:FOODON_03541898
asses-mules-hinnies msm,obo:FOODON_03541899
rabbit msm,obo:FOODON_03541900
deer msm,obo:FOODON_03541901
wild boar msm,obo:FOODON_03541902
generic poultry msm,obo:FOODON_03541903
chicken msm,obo:FOODON_03541904
duck msm,obo:FOODON_03541905
goose msm,obo:FOODON_03541906
turkey msm,obo:FOODON_03541907
ratites msm,obo:FOODON_03541908
mammals and birds meat,obo:FOODON_03541909
mammals meat,obo:FOODON_03541910
bovine and pig fresh meat,obo:FOODON_03541911
"bovine and pig, minced meat",obo:FOODON_03541912
mixed pork and mutton/lamb fresh meat,obo:FOODON_03541913
mixed beef and mutton/lamb fresh meat,obo:FOODON_03541914
bovine fresh meat,obo:FOODON_03541915
"cow, ox or bull fresh meat",obo:FOODON_03541916
calf fresh meat,obo:FOODON_03541917
buffalo fresh meat,obo:FOODON_03541918
"buffalo, water fresh meat",obo:FOODON_03541919
"buffalo, african fresh meat",obo:FOODON_03541920
"buffalo, cape fresh meat",obo:FOODON_03541921
"buffalo, american fresh meat",obo:FOODON_03541922
yak fresh meat,obo:FOODON_03541923
zebu fresh meat,obo:FOODON_03541924
"bovine, minced meat",obo:FOODON_03541925
pig fresh meat,obo:FOODON_03541926
pig minced meat,obo:FOODON_03541927
sheep fresh meat,obo:FOODON_03541928
sheep (adult) fresh meat,obo:FOODON_03541929
lamb fresh meat,obo:FOODON_03541930
"sheep, minced meat",obo:FOODON_03541931
goat fresh meat,obo:FOODON_03541932
"goat, minced meat",obo:FOODON_03541933
equine fresh meat,obo:FOODON_03541934
horse fresh meat,obo:FOODON_03541935
"horse, minced meat",obo:FOODON_03541936
asses-mules-hinnies fresh meat,obo:FOODON_03541937
"asses-mules-hinnies, minced meat",obo:FOODON_03541938
rabbit fresh meat,obo:FOODON_03541939
"rabbit, minced meat",obo:FOODON_03541940
camel fresh meat,obo:FOODON_03541941
"camel, bactrian fresh meat",obo:FOODON_03541942
dromedary fresh meat,obo:FOODON_03541943
kangaroo fresh meat,obo:FOODON_03541944
llama or lama fresh meat,obo:FOODON_03541945
deer fresh meat,obo:FOODON_03541946
"deer, minced meat",obo:FOODON_03541947
"deer, fallow fresh meat",obo:FOODON_03541948
"deer, red fresh meat",obo:FOODON_03541949
wapiti elk meat,obo:FOODON_03541950
european moose meat,obo:FOODON_03541951
reindeer meat,obo:FOODON_03541952
roe deer meat,obo:FOODON_03541953
wild boar fresh meat,obo:FOODON_03541954
"wild boar, minced meat",obo:FOODON_03541955
hare fresh meat,obo:FOODON_03541956
moufflon fresh meat,obo:FOODON_03541957
chamois fresh meat,obo:FOODON_03541958
dog meat,obo:FOODON_03541959
rat meat,obo:FOODON_03541960
marine mammals meat,obo:FOODON_03541961
birds meat,obo:FOODON_03541962
poultry fresh meat (muscle meat),obo:FOODON_03541963
undefined mixed poultry fresh meat,obo:FOODON_03541964
chicken fresh meat,obo:FOODON_03541965
"chicken, minced meat",obo:FOODON_03541966
turkey fresh meat,obo:FOODON_03541967
"turkey, minced meat",obo:FOODON_03541968
duck fresh meat,obo:FOODON_03541969
"duck, minced meat",obo:FOODON_03541970
goose fresh meat,obo:FOODON_03541971
"goose, minced meat",obo:FOODON_03541972
ratites fresh meat,obo:FOODON_03541973
"ratites, minced meat",obo:FOODON_03541974
guinea-fowl fresh meat,obo:FOODON_03541975
partridge fresh meat,obo:FOODON_03541976
pheasant fresh meat,obo:FOODON_03541977
pigeon fresh meat,obo:FOODON_03541978
quail fresh meat,obo:FOODON_03541979
wild goose fresh meat,obo:FOODON_03541980
mallard fresh meat,obo:FOODON_03541981
snipe fresh meat,obo:FOODON_03541982
grouse fresh meat,obo:FOODON_03541983
ptarmigan fresh meat,obo:FOODON_03541984
animal fresh fat tissues,obo:FOODON_03541985
mixed fresh fat tissue,obo:FOODON_03541986
mammals fat tissue,obo:FOODON_03541987
"bovine and pig, fresh fat tissue",obo:FOODON_03541988
bovine fat tissue,obo:FOODON_03541989
cattle fresh fat tissue,obo:FOODON_03541990
buffalo fresh fat tissue,obo:FOODON_03541991
pig fat tissue,obo:FOODON_03541992
sheep fat tissue,obo:FOODON_03541993
goat fat tissue,obo:FOODON_03541994
equine fat tissue,obo:FOODON_03541995
"horse, fresh fat tissue",obo:FOODON_03541996
"asses-mules-hinnies, fresh fat tissue",obo:FOODON_03541997
"rabbit, fresh fat tissue",obo:FOODON_03541998
camel fat tissue,obo:FOODON_03541999
"deer, fresh fat tissue",obo:FOODON_03542000
"wild boar, fresh fat tissue",obo:FOODON_03542001
hare fresh fat tissue,obo:FOODON_03542002
birds fat tissue,obo:FOODON_03542003
poultry fat tissue,obo:FOODON_03542004
"chicken, fresh fat tissue",obo:FOODON_03542005
"turkey, fresh fat tissue",obo:FOODON_03542006
"duck, fresh fat tissue",obo:FOODON_03542007
"goose, fresh fat tissue",obo:FOODON_03542008
ratites fresh fat tissue,obo:FOODON_03542009
animal liver,obo:FOODON_03542010
mammals liver,obo:FOODON_03542011
bovine liver,obo:FOODON_03542012
beef liver,obo:FOODON_03542013
veal liver,obo:FOODON_03542014
pig liver,obo:FOODON_03542015
sheep liver,obo:FOODON_03542016
goat liver,obo:FOODON_03542017
equine liver,obo:FOODON_03542018
horse liver,obo:FOODON_03542019
asses-mules-hinnies liver,obo:FOODON_03542020
rabbit liver,obo:FOODON_03542021
deer liver,obo:FOODON_03542022
wild boar liver,obo:FOODON_03542023
poultry liver,obo:FOODON_03542024
chicken liver,obo:FOODON_03542025
turkey liver,obo:FOODON_03542026
duck liver,obo:FOODON_03542027
goose liver,obo:FOODON_03542028
foie gras,obo:FOODON_03542029
ratites liver,obo:FOODON_03542030
animal kidney,obo:FOODON_03542031
mammals kidney,obo:FOODON_03542032
bovine kidney,obo:FOODON_03542033
beef kidney,obo:FOODON_03542034
veal kidney,obo:FOODON_03542035
pig kidney,obo:FOODON_03542036
sheep kidney,obo:FOODON_03542037
goat kidney,obo:FOODON_03542038
equine kidney,obo:FOODON_03542039
horse kidney,obo:FOODON_03542040
asses-mules-hinnies kidney,obo:FOODON_03542041
rabbit kidney,obo:FOODON_03542042
deer kidney,obo:FOODON_03542043
wild boar kidney,obo:FOODON_03542044
poultry kidney,obo:FOODON_03542045
chicken kidney,obo:FOODON_03542046
turkey kidney,obo:FOODON_03542047
duck kidney,obo:FOODON_03542048
goose kidney,obo:FOODON_03542049
ratites kidney,obo:FOODON_03542050
animal blood,obo:FOODON_03542051
"animal edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542052
"mammals edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542053
"bovine edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542054
"buffalo edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542055
"pig edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542056
"sheep edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542057
"goat edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542058
"equine edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542059
"horse edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542060
"asses-mules-hinnies edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542061
"rabbit edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542062
"deer edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542063
"wild boar edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542064
"camel edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542065
"poultry edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542066
"chicken edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542067
"turkey edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542068
"duck edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542069
"goose edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542070
"ratites edible offal, non-muscle, other than liver and kidney",obo:FOODON_03542071
animal other slaughtering products,obo:FOODON_03542072
mammals other slaughtering products,obo:FOODON_03542073
bovine other slaughtering products,obo:FOODON_03542074
bovine tongue,obo:FOODON_03542075
bovine heart,obo:FOODON_03542076
bovine stomach,obo:FOODON_03542077
bovine marrowbone,obo:FOODON_03542078
bovine tail,obo:FOODON_03542079
bovine trotters and feet,obo:FOODON_03542080
pig other slaughtering products,obo:FOODON_03542081
pig tongue,obo:FOODON_03542082
pig heart,obo:FOODON_03542083
pig stomach,obo:FOODON_03542084
pig marrowbone,obo:FOODON_03542085
pig tail,obo:FOODON_03542086
pig trotters and feet,obo:FOODON_03542087
pig head,obo:FOODON_03542088
sheep other slaughtering products,obo:FOODON_03542089
goat other slaughtering products,obo:FOODON_03542090
equine other slaughtering products (generic),obo:FOODON_03542091
"horse, other slaughtering products",obo:FOODON_03542092
horse tongue,obo:FOODON_03542093
horse heart,obo:FOODON_03542094
horse marrowbone,obo:FOODON_03542095
"asses-mules-hinnies, other slaughtering products",obo:FOODON_03542096
"rabbit, other slaughtering products",obo:FOODON_03542097
"deer, other slaughtering products",obo:FOODON_03542098
"wild boar, other slaughtering products",obo:FOODON_03542099
poultry other slaughtering products,obo:FOODON_03542100
poultry skin,obo:FOODON_03542101
"chicken, other slaughtering products",obo:FOODON_03542102
chicken feet,obo:FOODON_03542103
"turkey, other slaughtering products",obo:FOODON_03542104
"duck, other slaughtering products",obo:FOODON_03542105
"goose, other slaughtering products",obo:FOODON_03542106
processed whole meat products,obo:FOODON_03542107
raw cured (or seasoned) meat,obo:FOODON_03542108
cured seasoned pork meat,obo:FOODON_03542109
"ham, pork",obo:FOODON_03542110
tiroler speck,obo:FOODON_03542111
bacon,obo:FOODON_03542112
pancetta,obo:FOODON_03542113
"corned pork, uncooked",obo:FOODON_03542114
cured seasoned bovine meat,obo:FOODON_03542115
"ham, beef",obo:FOODON_03542116
"corned beef, uncooked",obo:FOODON_03542117
cured seasoned poultry meat,obo:FOODON_03542118
"corned turkey, uncooked",obo:FOODON_03542119
other cured meat,obo:FOODON_03542120
cooked cured (or seasoned) meat,obo:FOODON_03542121
cooked cured (or seasoned) pork meat,obo:FOODON_03542122
spalla cotta,obo:FOODON_03542123
porchetta,obo:FOODON_03542124
cooked pork ham,obo:FOODON_03542125
cooked pork tongue,obo:FOODON_03542126
"corned pork meat, cooked",obo:FOODON_03542127
"pastrami, pork",obo:FOODON_03542128
cooked cured (or seasoned) bovine meat,obo:FOODON_03542129
"pastrami, beef",obo:FOODON_03542130
cooked bovine tongue,obo:FOODON_03542131
"corned beef, cooked",obo:FOODON_03542132
cooked cured (or seasoned) poultry meat,obo:FOODON_03542133
cooked turkey meat,obo:FOODON_03542134
corned turkey,obo:FOODON_03542135
cooked other poultry meat,obo:FOODON_03542136
cooked cured (or seasoned) ovine meat,obo:FOODON_03542137
"pastrami, lamb",obo:FOODON_03542138
other cooked cured meat,obo:FOODON_03542139
preserved/processed fat tissues,obo:FOODON_03542140
cured pork fat,obo:FOODON_03542141
ciccioli and similar,obo:FOODON_03542142
sausages,obo:FOODON_03542143
fresh raw sausages,obo:FOODON_03542144
italian-style sausage,obo:FOODON_03542145
fresh spiced sausages in casing,obo:FOODON_03542146
fresh bulk sausages,obo:FOODON_03542147
breakfast-type sausage,obo:FOODON_03542148
chipolata-type sausage,obo:FOODON_03542149
fresh bratwurst,obo:FOODON_03542150
preserved or partly preserved sausages,obo:FOODON_03542151
cured unripened raw sausages,obo:FOODON_03542152
mettwurst-type sausage,obo:FOODON_03542153
teewurst-type sausage,obo:FOODON_03542154
fresh kolbasz,obo:FOODON_03542155
cured ripened raw sausages,obo:FOODON_03542156
salami-type sausage,obo:FOODON_03542157
italian-type salami,obo:FOODON_03542158
hungarian-type salami,obo:FOODON_03542159
german salami,obo:FOODON_03542160
pepperoni/paprika-type sausage,obo:FOODON_03542161
chorizo and similar,obo:FOODON_03542162
"linguica, sausage",obo:FOODON_03542163
snack sausages (like cabanos and landjäger),obo:FOODON_03542164
ripened kolbasz,obo:FOODON_03542165
matured charcuterie products for cooking,obo:FOODON_03542166
cooked sausages (generic),obo:FOODON_03542167
spreadable cooked sausages,obo:FOODON_03542168
liver-type sausage,obo:FOODON_03542169
braunschweiger,obo:FOODON_03542170
sliceable or firm cooked sausages,obo:FOODON_03542171
polish-type cooked sausage,obo:FOODON_03542172
mortadella-type sausage,obo:FOODON_03542173
bologna-type sausage,obo:FOODON_03542174
blood-type sausage,obo:FOODON_03542175
miscellaneous cooked sausages,obo:FOODON_03542176
cooked salami,obo:FOODON_03542177
blood and tongue sausage,obo:FOODON_03542178
head cheese,obo:FOODON_03542179
pre-cooked sausages to be cooked before consumption,obo:FOODON_03542180
knackwurst-type sausage,obo:FOODON_03542181
thuringian sausage,obo:FOODON_03542182
weisswurst,obo:FOODON_03542183
frankfurt-type sausage,obo:FOODON_03542184
frankfurter sausage,obo:FOODON_03542185
wiener sausage,obo:FOODON_03542186
cooked bratwurst-type sausage,obo:FOODON_03542187
beerwurst,obo:FOODON_03542188
bockwurst,obo:FOODON_03542189
cervelat (swiss type),obo:FOODON_03542190
meat specialties,obo:FOODON_03542191
meat based spreadable-textured specialities,obo:FOODON_03542192
meat spread,obo:FOODON_03542193
liver based spreadable-textured specialities,obo:FOODON_03542194
"pate, goose liver",obo:FOODON_03542195
"pate, chicken liver",obo:FOODON_03542196
"pate, pork liver",obo:FOODON_03542197
liver cheese,obo:FOODON_03542198
animal meat dried,obo:FOODON_03542199
mammals or birds dried meat,obo:FOODON_03542200
"bovine meat, dried",obo:FOODON_03542201
"horse meat, dried",obo:FOODON_03542202
"pig meat, dried",obo:FOODON_03542203
"turkey meat, dried",obo:FOODON_03542204
"goat meat, dried",obo:FOODON_03542205
marinated meat,obo:FOODON_03542206
canned-tinned meat,obo:FOODON_03542207
canned meat,obo:FOODON_03542208
luncheon spiced ham-type tinned meat,obo:FOODON_03542209
tinned bulk sausages,obo:FOODON_03542210
"fish, seafood, amphibians, reptiles and invertebrates",obo:FOODON_03542211
fish (meat),obo:FOODON_03542212
"carps, barbels and other cyprinids",obo:FOODON_03542214
barbs,obo:FOODON_03542215
silver barb,obo:FOODON_03542216
freshwater bream - europe,obo:FOODON_03542217
wuchang bream - china,obo:FOODON_03542218
carps,obo:FOODON_03542219
"carp, common",obo:FOODON_03542220
silver carp,obo:FOODON_03542221
bighead carp,obo:FOODON_03542222
black carp,obo:FOODON_03542223
"carp, grass",obo:FOODON_03542224
mud carp,obo:FOODON_03542225
"carp, indian (generic)",obo:FOODON_03542226
labeo carps (generic),obo:FOODON_03542227
labeo calbasu,obo:FOODON_03542228
roho labeo,obo:FOODON_03542229
catla,obo:FOODON_03542230
crucian carp,obo:FOODON_03542231
goldfish,obo:FOODON_03542232
weatherfish,obo:FOODON_03542233
roaches,obo:FOODON_03542234
